Trading Date,Close,Prev Close,Day Low,Day High,Change,Day Range,change in index,Change percent
13-09-2025,25114.0,25005.5,25038.05,25139.45,108.5,101.4,108.5,0.43%
15-09-2025,25069.2,25114.0,25048.75,25138.45,-44.8,89.7,-44.8,-0.18%
16-09-2025,25239.1,25069.2,25070.45,25261.4,169.9,190.95,169.9,0.68%
17-09-2025,25330.25,25239.1,25275.35,25346.5,91.15,71.15,91.15,0.36%
2025-09-18,25423.6,25330.25,25329.75,25448.95,93.35,119.2,93.35,+1.42%
2025-10-05,46758.28,24836.3,24747.55,24904.8,21921.98,157.25,21921.98,+34.28%
2025-10-05,46758.28,24836.3,24747.55,24904.8,21921.98,157.25,21921.98,+34.28%
2025-10-05,46758.28,24836.3,24747.55,24904.8,21921.98,157.25,21921.98,+34.28%
